newfilename	origfilename	ctnnum	annot	daynum	orgnum	power	pxlinmedian	invasion_veena	k14_veena
CTN001_Day0_01.tif	CTN001_Day0-020_Position(7).zvi.tif	001	Tumor	0	01	0.008523388	49	0	1
CTN001_Day0_02.tif	CTN001_Day0-020_Position(8).zvi.tif	001	Tumor	0	02	0.014368587	38	0	1
CTN001_Day0_03.tif	CTN001_Day0-020_Position(9).zvi.tif	001	Tumor	0	03	0.071436556	33	0	2
CTN001_Day0_04.tif	CTN001_Day0-020_Position(10).zvi.tif	001	Tumor	0	04	0.131507691	20	0	0
CTN001_Day0_05.tif	CTN001_Day0-020_Position(11).zvi.tif	001	Tumor	0	05	0.030751793	40	0	2
CTN001_Day0_06.tif	CTN001_Day0-020_Position(12).zvi.tif	001	Tumor	0	06	0.041212161	44	0	1
CTN001_Day0_07.tif	CTN001_Day0-020_Position(13).zvi.tif	001	Tumor	0	07	0.0508801	39.66666667	0	1
CTN001_Day6_01.tif	CTN001_Day6_B1-015_AB01_01.zvi.tif	001	Tumor	6	01	0.016297302	42.66666667	0	1
CTN001_Day6_02.tif	CTN001_Day6_B1-015_AB01_02.zvi.tif	001	Tumor	6	02	0.045290957	44.66666667	0	1
CTN001_Day6_03.tif	CTN001_Day6_B1-015_AB01_03.zvi.tif	001	Tumor	6	03	0.03168517	83.33333333	0	3
CTN001_Day6_04.tif	CTN001_Day6_B1-015_AB01_04.zvi.tif	001	Tumor	6	04	0.024102738	45.33333333	0	2
CTN001_Day6_05.tif	CTN001_Day6_B1-015_AB01_05.zvi.tif	001	Tumor	6	05	0.058415455	59.66666667	0	1
CTN001_Day6_06.tif	CTN001_Day6_B1-015_AB01_06.zvi.tif	001	Tumor	6	06	0.016063341	64	0	0
CTN001_Day6_07.tif	CTN001_Day6_B1-015_AB01_07.zvi.tif	001	Tumor	6	07	0.078288367	38	0	1
CTN001_Day6_08.tif	CTN001_Day6_B1-015_AB01_08.zvi.tif	001	Tumor	6	08	0.031736587	36.33333333	0	1
CTN001_Day6_09.tif	CTN001_Day6_B3-016_AB03_01.zvi.tif	001	Tumor	6	09	0.030146753	34.66666667	0	1
CTN001_Day6_10.tif	CTN001_Day6_B3-016_AB03_02.zvi.tif	001	Tumor	6	10	0.012360868	19	0	1
CTN002_Day0_01.tif	CTN002_Day0-019_Position(1).zvi.tif	002	Tumor	0	01	0.006426541	41.66666667	0	2
CTN002_Day0_02.tif	CTN002_Day0-019_Position(2).zvi.tif	002	Tumor	0	02	0.058760536	41.66666667	0	2
CTN002_Day0_03.tif	CTN002_Day0-019_Position(3).zvi.tif	002	Tumor	0	03	0.081461771	44	0	2
CTN002_Day0_04.tif	CTN002_Day0-019_Position(4).zvi.tif	002	Tumor	0	04	0.037424194	42.66666667	0	1
CTN002_Day0_05.tif	CTN002_Day0-019_Position(5).zvi.tif	002	Tumor	0	05	0.040219205	39	0	2
CTN002_Day0_06.tif	CTN002_Day0-019_Position(6).zvi.tif	002	Tumor	0	06	0.061350628	48	0	1
CTN002_Day6_01.tif	CTN002_Day6_B1-018_AB01_01.zvi.tif	002	Tumor	6	01	0.110674473	44.66666667	3	3
CTN002_Day6_02.tif	CTN002_Day6_B1-018_AB01_02.zvi.tif	002	Tumor	6	02	0.017583481	42.66666667	2	2
CTN002_Day6_03.tif	CTN002_Day6_B1-018_AB01_03.zvi.tif	002	Tumor	6	03	0.090566411	42.66666667	2	3
CTN002_Day6_04.tif	CTN002_Day6_B1-018_AB01_04.zvi.tif	002	Tumor	6	04	0.004407205	59.66666667	0	3
CTN002_Day6_05.tif	CTN002_Day6_B1-018_AB01_05.zvi.tif	002	Tumor	6	05	0.006785123	47	0	2
CTN002_Day6_06.tif	CTN002_Day6_B1-018_AB01_06.zvi.tif	002	Tumor	6	06	0.153011078	30.66666667	2	3
CTN002_Day6_07.tif	CTN002_Day6_B1-018_AB01_07.zvi.tif	002	Tumor	6	07	0.023323686	41.66666667	1	2
CTN002_Day6_08.tif	CTN002_Day6_B1-018_AB01_08.zvi.tif	002	Tumor	6	08	0.047133561	30.33333333	1	2
CTN002_Day6_09.tif	CTN002_Day6_B1-018_AB01_09.zvi.tif	002	Tumor	6	09	0.059236419	47.33333333	3	3
CTN002_Day6_10.tif	CTN002_Day6_B1-018_AB01_10.zvi.tif	002	Tumor	6	10	0.011655494	42.66666667	0	2
CTN002_Day6_11.tif	CTN002_Day6_B1-018_AB01_11.zvi.tif	002	Tumor	6	11	0.051761173	38.33333333	0	2
CTN002_Day6_12.tif	CTN002_Day6_B1-018_AB01_12.zvi.tif	002	Tumor	6	12	0.068150952	39.66666667	3	2
CTN002_Day6_13.tif	CTN002_Day6_B3-017_AB03_01.zvi.tif	002	Tumor	6	13	0.029597	45	1	2
CTN002_Day6_14.tif	CTN002_Day6_B3-017_AB03_02.zvi.tif	002	Tumor	6	14	0.027497323	26.66666667	0	2
CTN002_Day6_15.tif	CTN002_Day6_B3-017_AB03_03.zvi.tif	002	Tumor	6	15	0.016147852	42	0	2
CTN002_Day6_16.tif	CTN002_Day6_B3-017_AB03_04.zvi.tif	002	Tumor	6	16	0.014939681	43.66666667	0	2
CTN002_Day6_17.tif	CTN002_Day6_B3-017_AB03_05.zvi.tif	002	Tumor	6	17	0.029172303	40.33333333	1	2
CTN002_Day6_18.tif	CTN002_Day6_B3-017_AB03_06.zvi.tif	002	Tumor	6	18	0.009332143	43	0	2
CTN002_Day6_19.tif	CTN002_Day6_B3-017_AB03_07.zvi.tif	002	Tumor	6	19	0.029396944	37.66666667	1	2
CTN002_Day6_20.tif	CTN002_Day6_B3-017_AB03_08.zvi.tif	002	Tumor	6	20	0.016708808	45.66666667	0	1
CTN002_Day6_21.tif	CTN002_Day6_B3-017_AB03_09.zvi.tif	002	Tumor	6	21	0.018308022	49	0	2
CTN002_Day6_22.tif	CTN002_Day6_B3-017_AB03_10.zvi.tif	002	Tumor	6	22	0.005802014	45.66666667	1	2
CTN002_Day6_23.tif	CTN002_Day6_B3-017_AB03_11.zvi.tif	002	Tumor	6	23	0.011627338	40	0	2
CTN002_Day6_24.tif	CTN002_Day6_B3-017_AB03_12.zvi.tif	002	Tumor	6	24	0.074132573	39.66666667	1	2
CTN002_Day6_25.tif	CTN002_Day6_B3-017_AB03_13.zvi.tif	002	Tumor	6	25	0.008627511	47	0	2
CTN002_Day6_26.tif	CTN002_Day6_B3-017_AB03_14.zvi.tif	002	Tumor	6	26	0.009482869	47.33333333	0	2
CTN004_Day0_01.tif	CTN004_Day0-014_Position(180).zvi.tif	004	Tumor	0	01	0.012191572	43.66666667	0	1
CTN004_Day0_02.tif	CTN004_Day0-014_Position(181).zvi.tif	004	Tumor	0	02	0.030166595	30	0	0
CTN004_Day0_03.tif	CTN004_Day0-014_Position(182).zvi.tif	004	Tumor	0	03	0.017913766	34	0	1
CTN004_Day0_04.tif	CTN004_Day0-014_Position(183).zvi.tif	004	Tumor	0	04	0.012536398	43	0	1
CTN004_Day0_05.tif	CTN004_Day0-014_Position(184).zvi.tif	004	Tumor	0	05	0.073806434	24.33333333	0	1
CTN004_Day0_06.tif	CTN004_Day0-014_Position(185).zvi.tif	004	Tumor	0	06	0.03248167	11	0	1
CTN004_Day0_07.tif	CTN004_Day0-014_Position(186).zvi.tif	004	Tumor	0	07	0.027121237	22	0	2
CTN004_Day6_01.tif	CTN004_Day6-013_Position(173).zvi.tif	004	Tumor	6	01	0.111579705	46.33333333	3	2
CTN004_Day6_02.tif	CTN004_Day6-013_Position(174).zvi.tif	004	Tumor	6	02	0.150721941	84.33333333	3	3
CTN004_Day6_03.tif	CTN004_Day6-013_Position(175).zvi.tif	004	Tumor	6	03	0.120409856	84.33333333	3	3
CTN004_Day6_04.tif	CTN004_Day6-013_Position(176).zvi.tif	004	Tumor	6	04	0.030704893	39.66666667	1	2
CTN004_Day6_05.tif	CTN004_Day6-013_Position(177).zvi.tif	004	Tumor	6	05	0.015422522	42	0	2
CTN004_Day6_06.tif	CTN004_Day6-013_Position(178).zvi.tif	004	Tumor	6	06	0.094358017	74	2	3
CTN004_Day6_07.tif	CTN004_Day6-013_Position(179).zvi.tif	004	Tumor	6	07	0.039912771	64	0	3
CTN005_Day0_01.tif	CTN005_Day0-005_Position(109).zvi.tif	005	Tumor	0	01	0.026829406	26.66666667	0	0
CTN005_Day0_02.tif	CTN005_Day0-005_Position(110).zvi.tif	005	Tumor	0	02	0.064990446	64	0	1
CTN005_Day0_03.tif	CTN005_Day0-005_Position(111).zvi.tif	005	Tumor	0	03	0.031844588	29.66666667	0	0
CTN005_Day0_04.tif	CTN005_Day0-005_Position(112).zvi.tif	005	Tumor	0	04	0.022266321	52.66666667	0	0
CTN005_Day0_05.tif	CTN005_Day0-005_Position(113).zvi.tif	005	Tumor	0	05	0.037114412	74	0	0
CTN005_Day0_06.tif	CTN005_Day0-005_Position(114).zvi.tif	005	Tumor	0	06	0.031353448	60	0	0
CTN005_Day0_07.tif	CTN005_Day0-005_Position(115).zvi.tif	005	Tumor	0	07	0.030424878	42.66666667	0	0
CTN005_Day0_08.tif	CTN005_Day0-005_Position(116).zvi.tif	005	Tumor	0	08	0.00577221	42.66666667	0	0
CTN005_Day0_09.tif	CTN005_Day0-005_Position(117).zvi.tif	005	Tumor	0	09	0.03470494	42.66666667	0	2
CTN005_Day0_10.tif	CTN005_Day0-005_Position(118).zvi.tif	005	Tumor	0	10	0.067494209	56.66666667	0	0
CTN005_Day0_11.tif	CTN005_Day0-005_Position(119).zvi.tif	005	Tumor	0	11	0.043716726	36.33333333	0	0
CTN005_Day0_12.tif	CTN005_Day0-005_Position(120).zvi.tif	005	Tumor	0	12	0.008691994	31.66666667	0	1
CTN005_Day0_13.tif	CTN005_Day0-005_Position(121).zvi.tif	005	Tumor	0	13	0.018645026	56.66666667	0	1
CTN005_Day0_14.tif	CTN005_Day0-005_Position(122).zvi.tif	005	Tumor	0	14	0.042040327	54	0	1
CTN005_Day0_15.tif	CTN005_Day0-005_Position(123).zvi.tif	005	Tumor	0	15	0.010982948	34.66666667	0	0
CTN005_Day0_16.tif	CTN005_Day0-005_Position(124).zvi.tif	005	Tumor	0	16	0.058598585	22.66666667	0	1
CTN005_Day0_17.tif	CTN005_Day0-005_Position(125).zvi.tif	005	Tumor	0	17	0.018729936	64	0	1
CTN005_Day0_18.tif	CTN005_Day0-005_Position(126).zvi.tif	005	Tumor	0	18	0.029779791	42.66666667	0	0
CTN005_Day0_19.tif	CTN005_Day0-005_Position(127).zvi.tif	005	Tumor	0	19	0.023966824	42.66666667	0	1
CTN005_Day6_01.tif	CTN05_Day6-008_AB02_01.zvi.tif	005	Tumor	6	01	0.064500235	37.33333333	3	3
CTN005_Day6_02.tif	CTN05_Day6-008_AB02_02.zvi.tif	005	Tumor	6	02	0.004794236	51	0	1
CTN005_Day6_03.tif	CTN05_Day6-008_AB02_03.zvi.tif	005	Tumor	6	03	0.014664677	18	0	2
CTN005_Day6_04.tif	CTN05_Day6-008_AB02_04.zvi.tif	005	Tumor	6	04	0.03966867	33	1	2
CTN005_Day6_05.tif	CTN05_Day6-008_AB02_05.zvi.tif	005	Tumor	6	05	0.030127321	39	0	2
CTN005_Day6_06.tif	CTN05_Day6-008_AB02_06.zvi.tif	005	Tumor	6	06	0.096881525	52	2	2
CTN005_Day6_07.tif	CTN05_Day6-008_AB02_07.zvi.tif	005	Tumor	6	07	0.021577585	25	0	1
CTN005_Day6_09.tif	CTN05_Day6-008_AB02_09.zvi.tif	005	Tumor	6	09	0.005343371	40	0	1
CTN005_Day6_10.tif	CTN05_Day6-008_AB02_10.zvi.tif	005	Tumor	6	10	0.037412042	40.66666667	3	2
CTN005_Day6_11.tif	CTN05_Day6-008_AB02_12.zvi.tif	005	Tumor	6	11	0.020069229	26	0	1
CTN007_Day0_01.tif	CTN007_Day0-006_Position(128).zvi.tif	007	Tumor	0	01	0.098949566	57	0	0
CTN007_Day0_02.tif	CTN007_Day0-006_Position(129).zvi.tif	007	Tumor	0	02	0.058466121	45.66666667	0	0
CTN007_Day0_03.tif	CTN007_Day0-006_Position(130).zvi.tif	007	Tumor	0	03	0.024522594	55	0	0
CTN007_Day0_04.tif	CTN007_Day0-006_Position(131).zvi.tif	007	Tumor	0	04	0.02632451	59	0	0
CTN007_Day0_05.tif	CTN007_Day0-006_Position(132).zvi.tif	007	Tumor	0	05	0.04291959	54	0	0
CTN007_Day0_06.tif	CTN007_Day0-006_Position(133).zvi.tif	007	Tumor	0	06	0.050650397	42.66666667	0	0
