Filename	CTN	Day	Treatment	Is_Duplicate	Invasion Score	K14 score	Type
CTN001_Day6_B1-015_AB01_01.zvi.tif	CTN001	6	Vehicle	NA	0	1	Tumor
CTN001_Day6_B1-015_AB01_02.zvi.tif	CTN001	6	Vehicle	NA	0	1	Tumor
CTN001_Day6_B1-015_AB01_03.zvi.tif	CTN001	6	Vehicle	NA	0	3	Tumor
CTN001_Day6_B1-015_AB01_04.zvi.tif	CTN001	6	Vehicle	NA	0	2	Tumor
CTN001_Day6_B1-015_AB01_05.zvi.tif	CTN001	6	Vehicle	NA	0	1	Tumor
CTN001_Day6_B1-015_AB01_06.zvi.tif	CTN001	6	Vehicle	NA	0	0	Tumor
CTN001_Day6_B1-015_AB01_07.zvi.tif	CTN001	6	Vehicle	NA	0	1	Tumor
CTN001_Day6_B1-015_AB01_08.zvi.tif	CTN001	6	Vehicle	NA	0	1	Tumor
CTN001_Day6_B3-016_AB03_01.zvi.tif	CTN001	6	Vehicle	NA	0	1	Tumor
CTN001_Day6_B3-016_AB03_02.zvi.tif	CTN001	6	Vehicle	NA	0	1	Tumor
CTN0015_Day6-001_Position(15).zvi.tif	CTN015	6	Vehicle	NA	3	3	Tumor
CTN0015_Day6-001_Position(16).zvi.tif	CTN015	6	Vehicle	NA	2	3	Tumor
CTN0015_Day6-001_Position(17).zvi.tif	CTN015	6	Vehicle	NA	2	3	Tumor
CTN0015_Day6-001_Position(18).zvi.tif	CTN015	6	Vehicle	NA	0	3	Tumor
CTN0015_Day6-001_Position(19).zvi.tif	CTN015	6	Vehicle	NA	0	0	Tumor
CTN0015_Day6-001_Position(20).zvi.tif	CTN015	6	Vehicle	NA	0	2	Tumor
CTN0015_Day6-001_Position(21).zvi.tif	CTN015	6	Vehicle	NA	0	3	Tumor
CTN0015_Day6-001_Position(22).zvi.tif	CTN015	6	Vehicle	NA	0	2	Tumor
CTN0015_Day6-001_Position(23).zvi.tif	CTN015	6	Vehicle	NA	2	3	Tumor
CTN0015_Day6-001_Position(24).zvi.tif	CTN015	6	Vehicle	NA	3	2	Tumor
CTN0015_Day6-001_Position(25).zvi.tif	CTN015	6	Vehicle	NA	2	3	Tumor
